equation,answer
\begin{array}{c}{{\left(x^{2}-y^{2}+y\right)\mathrm{d}x+x(2y-1)\mathrm{d}y=0.}}\\ {{\cdot}}\end{array},x^{2}+{y}^{2}=y+C x;
\begin{array}{c}{{\left(x^{2}-y^{2}+y\right)\mathrm{d}x+x(2y-1)\mathrm{d}y=0.}}\\ {{\cdot}}\end{array},x=0
"\begin{array}{l}{{(2x^{2}y^{2}+y)\,{\mathrm{d}}x+(x^{3}y-x)\,{\mathrm{d}}y=0.}}\\ {{.}}&{{.}}\end{array}",x^{2}y+\ln|x/y|=C;
"\begin{array}{l}{{(2x^{2}y^{2}+y)\,{\mathrm{d}}x+(x^{3}y-x)\,{\mathrm{d}}y=0.}}\\ {{.}}&{{.}}\end{array}",x=0
"\begin{array}{l}{{(2x^{2}y^{2}+y)\,{\mathrm{d}}x+(x^{3}y-x)\,{\mathrm{d}}y=0.}}\\ {{.}}&{{.}}\end{array}",y=0
"(2x^{2}y^{3}-1)y\,\mathrm{d}x+(4x^{2}y^{3}-1)x\,\mathrm{d}y=0.",2x y^{2}+({\frac{1}{x y}})=C
"(2x^{2}y^{3}-1)y\,\mathrm{d}x+(4x^{2}y^{3}-1)x\,\mathrm{d}y=0.",x=0
"(2x^{2}y^{3}-1)y\,\mathrm{d}x+(4x^{2}y^{3}-1)x\,\mathrm{d}y=0.",y=0
"y(x+y^{2})\,\mathrm{d}x+x^{2}(y-1)\,\mathrm{d}y=0.","\ln\left|\frac{x+y}{y}\right|\,+\,\frac{y(1\!+\!x)}{x\!+\!y}\,=\,{\cal C}"
"y(x+y^{2})\,\mathrm{d}x+x^{2}(y-1)\,\mathrm{d}y=0.",y=0
"y(x+y^{2})\,\mathrm{d}x+x^{2}(y-1)\,\mathrm{d}y=0.",y=-x
(x^{2}-\sin^{2}y)\operatorname*{d}\!x+x\sin2y\operatorname*{d}\!y=0.,\sin^2{y} = Cx - x^2
(x^{2}-\sin^{2}y)\operatorname*{d}\!x+x\sin2y\operatorname*{d}\!y=0.,x=0
x(\ln y+2\ln x-1)\operatorname{d}y=2y\operatorname{d}x.,y=C\ln x^{2}y.
"(x^{2}+1)(2x\,\mathrm{d}x+\cos y\,\mathrm{d}y)=2x\sin y\,\mathrm{d}x.",\sin y=-(x^{2}+1)\ln C(x^{2}+1)
"\begin{array}{l}{{(2x^{3}y^{2}-y)\,\mathrm{d}x+(2x^{2}y^{3}-x)\,\mathrm{d}y=0.}}\\ {{.}}\end{array}",x y(C-x^{2}-{{y}}^{2})=-1
"\begin{array}{l}{{(2x^{3}y^{2}-y)\,\mathrm{d}x+(2x^{2}y^{3}-x)\,\mathrm{d}y=0.}}\\ {{.}}\end{array}",x=0
"\begin{array}{l}{{(2x^{3}y^{2}-y)\,\mathrm{d}x+(2x^{2}y^{3}-x)\,\mathrm{d}y=0.}}\\ {{.}}\end{array}",y=0
x^{2}y^{3}+y+(x^{3}y^{2}-x)y^{\prime}=0.,y^{2}=C x^{2}e^{x^{2}y^{2}}
"\begin{array}{c}{{(x^{2}-y)\,\mathrm{d}x+x(y+1)\,\mathrm{d}y=0.}}\\ {{.}}\end{array}","x\sqrt{1+(y^{2}/x^{2})}+ \ln(y/x+\sqrt{1+(y^{2}/x^{2})})\;=\;\,C;"
"\begin{array}{c}{{(x^{2}-y)\,\mathrm{d}x+x(y+1)\,\mathrm{d}y=0.}}\\ {{.}}\end{array}",x=0
"y^{2}(y\,\mathrm{d}x-2x\,\mathrm{d}y)=x^{3}(x\,\mathrm{d}y-2y\,\mathrm{d}x)",x^3 - 4y^2 = Cy\sqrt[3]{xy}
"y^{2}(y\,\mathrm{d}x-2x\,\mathrm{d}y)=x^{3}(x\,\mathrm{d}y-2y\,\mathrm{d}x)",x=0
"y^{2}(y\,\mathrm{d}x-2x\,\mathrm{d}y)=x^{3}(x\,\mathrm{d}y-2y\,\mathrm{d}x)",y=0
y^{\prime^{2}}-y^{2}=0.,y=C\mathrm{e}^{\pm x}.
{\bf8}y^{\prime^3}{\bf=}27y.,y^2 = (x + C)^3
{\bf8}y^{\prime^3}{\bf=}27y.,y=0
(y^{\prime}+1)^{3}=27(x+y)^{2}.,"y+x\,=\,(x+C)^{3};"
(y^{\prime}+1)^{3}=27(x+y)^{2}.,"\,y\,=\,-x."
y^{2}(y^{\prime2}+1)=1.,"(x+C)^{2}+y^{2}\,=\,1;\,"
y^{2}(y^{\prime2}+1)=1.,y=\pm1.
y^{\prime2}-4y^{3}=0.,y(x + C)^2 = 1
y^{\prime2}-4y^{3}=0.,y=0
y^{\prime^{2}}=4y^{3}(1-y).,y[1 + (x - C)^{2}]=1
y^{\prime^{2}}=4y^{3}(1-y).,y=0
y^{\prime^{2}}=4y^{3}(1-y).,y=1
x y^{\prime}{}^{2}=y.,"(y-x)^{2}\,=\,2C(x+y)-C^{2};"
x y^{\prime}{}^{2}=y.,y=0
y y^{\prime3}+x=1.,(x-1)^{4/3}+y^{4/3}=C
y^{\prime^{3}}+y^{2}=y y^{\prime}(y^{\prime}+1).,4y=(x+C)^{2};
y^{\prime^{3}}+y^{2}=y y^{\prime}(y^{\prime}+1).,y=C\mathrm{e}^{x}.
\begin{array}{c}{{4(1-y)=(3y-2)^{2}y^{\prime}{}^{2}.}}\end{array},y^{2}(1-y)=(x+C)^{2};
\begin{array}{c}{{4(1-y)=(3y-2)^{2}y^{\prime}{}^{2}.}}\end{array},y=1
y^{\prime^{2}}+x y=y^{2}+x y^{\prime}.,"y\,=\,C\mathrm{e}^{x};"
y^{\prime^{2}}+x y=y^{2}+x y^{\prime}.,"y\,=\,C\mathrm{e}^{-x}+x\,-\,1"
x y^{\prime}(x y^{\prime}+y)=2y^{2}.,"x^{2}y\,=\,C;"
x y^{\prime}(x y^{\prime}+y)=2y^{2}.,"y\,=\,C x."
x y^{\prime2}-2y y^{\prime}+x=0.,x^{2}+C^{2}=2C y
x y^{\prime2}-2y y^{\prime}+x=0.,y=\pm x.
x y^{\prime2}=y(2y^{\prime}-1).,(x+C)^{2}=4C y;
x y^{\prime2}=y(2y^{\prime}-1).,y=0
x y^{\prime2}=y(2y^{\prime}-1).,y=x
y^{\prime2}+x=2y,\ln\left|1\pm2{\sqrt{2y-x}}\right|=2\left(x+C\pm{\sqrt{2y-x}}\right)
y^{\prime2}+x=2y,8y=4x+1
y^{\prime^{3}}+(x+2)e^{y}=0.,(x+2)^{4/3}+C=4e^{-y/3}
y^{\prime}{}^{2}-2x y^{\prime}=8x^{2}.,y=2x^{2}+C;
y^{\prime}{}^{2}-2x y^{\prime}=8x^{2}.,"\,y=-x^{2}+C."
(x y^{\prime}+3y)^{2}=7x.,y=C x^{-3}\pm2\sqrt{x/7}
y^{\prime}{}^{2}-2y y^{\prime}=y^{2}(\mathrm{e}^{x}-1).,\ln C y=x\pm2\mathrm{e}^{x/2}
y^{\prime}{}^{2}-2y y^{\prime}=y^{2}(\mathrm{e}^{x}-1).,y=0
y^{\prime}(2y-y^{\prime})=y^{2}\sin^{2}x.,\ln{C y}=x\pm\sin{x}
y^{\prime}(2y-y^{\prime})=y^{2}\sin^{2}x.,y=0
y^{\prime^4}+y^{2}=y^{4},\operatorname{arctg}u+{\frac{1}{2}}\ln\left|(u-1)/(u+1)\right|=\pm x+C
y^{\prime^4}+y^{2}=y^{4},y=0
y^{\prime^4}+y^{2}=y^{4},y=\pm1
x(y-x y^{\prime})^{2}=x y^{\prime2}-2y y^{\prime}.,x^{2}+(C y+1)^{2}=1
x(y-x y^{\prime})^{2}=x y^{\prime2}-2y y^{\prime}.,y=0
y(x y^{\prime}-y)^{2}=y-2x y^{\prime}.,(C x+1)^{2}=1-y^{2};
y(x y^{\prime}-y)^{2}=y-2x y^{\prime}.,y=\pm1
y y^{\prime}(y y^{\prime}-2x)=x^{2}-2y^{2}.,"2(x-C)^{2}+2y^{2}\,=\,C^{2};"
y y^{\prime}(y y^{\prime}-2x)=x^{2}-2y^{2}.,"y\,=\,\pm x."
y^{\prime}{}^{2}+4x y^{\prime}-y^{2}-2x^{2}y=x^{4}-4x^{2}.,y=Ce^{\pm x} - x^2
y(y-2x y^{\prime})^{2}=2y^{\prime}.,y^2=C^2x-C
y(y-2x y^{\prime})^{2}=2y^{\prime}.,4xy^2=-1
x=y^{\prime3}+y^{\prime}.,"x = p^3 + p, 4y = 3p^4 + 2p^2 + C"
x(y^{\prime}{}^{2}-1)=2y^{\prime}.,"x=\frac{2p}{p^{2}-1},y=\frac{2}{p^{2} - 1} - \ln|p^2 - 1| + C"
x=y^{\prime}{\sqrt{y^{\prime2}+1}}.,"x=p{\sqrt{p^{2}+1}},3y=(2p^{2}-1){\sqrt{p^{2}+1}}+C"
y^{\prime}(x-\ln y^{\prime})=1.,"x=\ln p+(1/p),\,y=p-\ln p+C"
y=y^{\prime}{}^{2}+2y^{\prime}{}^{3}.,"x=3p^{2}+2p+C,y=2p^{3}+p^{2}"
y=y^{\prime}{}^{2}+2y^{\prime}{}^{3}.,y=0
y=\ln(1+y^{\prime2}).,"x=2\operatorname{arctg}p+C,y=\ln(1+p^{2});"
y=\ln(1+y^{\prime2}).,y=0
(y^{\prime}+1)^{3}=(y^{\prime}-y)^{2}.,"x\,=\,\ln\,|p|\,\pm\,{\textstyle\frac{3}{2}}\,\ln\left|\frac{\sqrt{p+1}-1}{\sqrt{p+1+1}}\right|\,\pm\,3\sqrt{p+1}\,+\,C, y=p\pm(p+1)^{3/2}"
(y^{\prime}+1)^{3}=(y^{\prime}-y)^{2}.,y=\pm1
y=(y^{\prime}-1)\mathrm{e}^{y^{\prime}}.,"x=\mathrm{e}^{p}+C,\;y=(p-1)\,\mathrm{e}^{p}"
y=(y^{\prime}-1)\mathrm{e}^{y^{\prime}}.,y=-1
{y^{\prime}}^{4}-{y^{\prime}}^{2}=y^{2}.,"x=\pm\left(2\sqrt{p^{2}-1}+\arcsin\frac{1}{\left|p\right|}\right)+C,y=\,\pm p\sqrt{p^{2}-1}"
{y^{\prime}}^{4}-{y^{\prime}}^{2}=y^{2}.,y=0.
y^{\prime}{}^{2}-y^{\prime}{}^{3}=y^{2}.,"$$x=\pm(\ln|\frac{1-\sqrt{1-p}}{1+\sqrt{1-p}}|)+3\sqrt{1-p}\;+C,\;y=\pm p\sqrt{1-p}"
y^{\prime}{}^{2}-y^{\prime}{}^{3}=y^{2}.,y=0.
y^{\prime}{}^{4}=2y y^{\prime}+y^{2}.,"x=\pm2\sqrt{1+p^{2}}-\ln(\sqrt{p^{2}+1}\pm1)+C,\ y=-p\pm p\sqrt{p^{2}+1}"
y^{\prime}{}^{4}=2y y^{\prime}+y^{2}.,y=0.
y^{\prime^2}-2x y^{\prime}=x^{2}-4y.,4y=C^{2}-2(x-C)^{2};
y^{\prime^2}-2x y^{\prime}=x^{2}-4y.,2y=x^{2}.
5y+y^{\prime}{}^{2}=x(x+y^{\prime}).,"x=-{\frac{p}{2}}+C,\,5y=C^{2}-{\frac{5p^{2}}{4}};"
5y+y^{\prime}{}^{2}=x(x+y^{\prime}).,x^{2}\ =\ 4y.
x^{2}y^{\prime2}=x y y^{\prime}+1.,"x={{\pm x p{\sqrt{2\ln C p}}}}\;=\;\mathrm{{1,\;}}y\;=\;\mp\Big(\;\sqrt{2\ln C p-\;-\;\frac{1}{\sqrt{2\ln C p}}}\Big)"
y^{\prime^{3}}+y^{2}=x y y^{\prime}.,"p x y=y^{2}+p^{3},\;y^{2}(2p+C)=p^{4};"
y^{\prime^{3}}+y^{2}=x y y^{\prime}.,y=0.
2x y^{\prime}-y=y^{\prime}\ln y y^{\prime}.,y^{2}=2C x-{C}\ln{C}
2x y^{\prime}-y=y^{\prime}\ln y y^{\prime}.,2x=1+2\ln{\vert y\vert}.
y^{\prime}=\mathrm{e}^{x y^{\prime}/y}.,C x=\ln C y;
y^{\prime}=\mathrm{e}^{x y^{\prime}/y}.,y=\operatorname{e}x.
y=x y^{\prime}-x^{2}y^{\prime3}.,"x p^{2}=2\sqrt{|p|}-1, y=x p-x^{2}p^{3}; "
y=x y^{\prime}-x^{2}y^{\prime3}.,y=0
y=2x y^{\prime}+y^{2}y^{\prime3}.,"2p^{2}x\,{=}C-C^{2}p^{2},\,p y={C};"
y=2x y^{\prime}+y^{2}y^{\prime3}.,32x^3 = -27y^4
y=2x y^{\prime}+y^{2}y^{\prime3}.,y=0
y(y-2x y^{\prime})^{3}=y^{\prime2}.,y^{2}=2C^{3}x+C^{2}
y(y-2x y^{\prime})^{3}=y^{\prime2}.,27x^{2}y^{2}=1.
y=x y^{\prime}-y^{\prime2}.,y=C x-C^{2};
y=x y^{\prime}-y^{\prime2}.,4y=x^{2}.
y+x y^{\prime}=4{\sqrt{y^{\prime}}}.,"x\sqrt{p}=\ln p+C,\,y=\sqrt{p}(4-\ln p-C);"
y+x y^{\prime}=4{\sqrt{y^{\prime}}}.,y=0.
y=2x y^{\prime}-4y^{\prime3}.,"x=3p^{2}+C p^{-2}, y=2p^{3}+2C p^{-1}"
y=2x y^{\prime}-4y^{\prime3}.,y=0.
y=x y^{\prime}-(2+y^{\prime}).,y=C x-C-2.
y^{\prime^{3}}=3(x y^{\prime}-y).,C^{3}=3(C x-y);
y^{\prime^{3}}=3(x y^{\prime}-y).,9y^{2}=4x^{3}
y=x y^{\prime2}-2y^{\prime3}.,"x=C(p-1)^{-2}+2p+1,\,y=C p^{2}(p-1)^{-2}+p^{2};"
y=x y^{\prime2}-2y^{\prime3}.,y=0;
y=x y^{\prime2}-2y^{\prime3}.,y=x-2
x y^{\prime}-y=\ln y^{\prime}.,y=C x-\ln C;
x y^{\prime}-y=\ln y^{\prime}.,y=\ln x+1.
x y^{\prime}(y^{\prime}+2)=y.,y=\pm2{\sqrt{C x}}+C;
x y^{\prime}(y^{\prime}+2)=y.,y=-x
2y^{\prime2}(y-x y^{\prime})=1.,2C^{2}(y-C x)=1;
2y^{\prime2}(y-x y^{\prime})=1.,8y^{3}=27x^{2}.
2x y^{\prime}-y=\ln y^{\prime}.,"x p^{2}=p+C,\;y= \,2+2C p^{-1}-\ln p."
x y^{\prime}+x^{2}+x y-y=0.,"y\,=\,x(C\mathrm{e}^{-\,x}\,-\,1)."
2x y^{\prime}+y^{2}=1.,"(C x+1)y\,=\,C x-1;"
2x y^{\prime}+y^{2}=1.,y = 1
"(2x y^{2}-y)\,\mathrm{d}x+x\,\mathrm{d}y=0.","y(x^{2}-C)\,=\,x"
"(2x y^{2}-y)\,\mathrm{d}x+x\,\mathrm{d}y=0.","y\,=\,0."
(x y^{\prime}+y)^{2}=x^{2}y^{\prime}.,"x(C-y)\,=\,C^{2}"
(x y^{\prime}+y)^{2}=x^{2}y^{\prime}.,x\;=\;4y.
y-y^{\prime}=y^{2}+x y^{\prime}.,y(x+C)=x+1
y-y^{\prime}=y^{2}+x y^{\prime}.,y=0
(x+2y^{3})y^{\prime}=y,x=C y+y^{3}{}_{;}
(x+2y^{3})y^{\prime}=y,y=0.
y^{\prime^{3}}-y^{\prime}\mathrm{e}^{2x}=0.,y=C\pm\mathrm{e}^{x}.
y^{\prime^{3}}-y^{\prime}\mathrm{e}^{2x}=0.,y = C
x^{2}y^{\prime}=y(x+y).,"y\ln C x\,=\,-x"
x^{2}y^{\prime}=y(x+y).,"y\,=\,0."
"(1-x^{2})\,\mathrm{d}y+x y\,\mathrm{d}x=0.","y^{2}\,=\,C(x^{2}\,-\,1);"
"(1-x^{2})\,\mathrm{d}y+x y\,\mathrm{d}x=0.","x\,\,=\pm1."
y^{\prime^{2}}+2(x-1)y^{\prime}-2y=0.,2y=2C(x-1)+C^{2}
y^{\prime^{2}}+2(x-1)y^{\prime}-2y=0.,2y=-(x-1)^{2}.
y+y^{\prime}\ln^{2}y=(x+2\ln y)y^{\prime}.,x=C y+\ln^{2}y.
x^{2}y^{\prime}-2x y=3y.,y=C x^{2}\mathrm{e}^{-3/x}.
x+y y^{\prime}=y^{2}(1+y^{\prime 2}),4(y^{2}-x)=1.
x+y y^{\prime}=y^{2}(1+y^{\prime 2}),(x-C)^{2}+y^{2}=C
y=(x y^{\prime}+2y)^{2}.,4x^{2}y=(x+2C)^{2}
y=(x y^{\prime}+2y)^{2}.,y=0.
y^{\prime}={\frac{1}{x-y^{2}}}.,x=C\mathrm{e}^{y}+y^{2}+2y+2.
y^{\prime^{3}}+(3x-6)y^{\prime}=3y.,3y=3C(x-2)+C^{3};
y^{\prime^{3}}+(3x-6)y^{\prime}=3y.,9y^{2}=4(2-x)^{3}
x-{\frac{y}{y^{\prime}}}={\frac{2}{y}}.,y^{2}=C(x y-1);
x-{\frac{y}{y^{\prime}}}={\frac{2}{y}}.,x y=1.
2y^{\prime^{3}}-3y^{\prime^{2}}+x=y.,4(x-C)^{3}=27(y-\ C)^{2};
2y^{\prime^{3}}-3y^{\prime^{2}}+x=y.,y=\ x-1.
(x+y)^{2}y^{\prime}=1.,"x\,+\,y\,=\,\mathrm{tg}(y\,-\,C)."
2x^{3}y y^{\prime}+3x^{2}y^{2}+7=0.,x^{3}y^{2}+7x\;=\;C.
"{\frac{\mathrm{d}x}{x}}=\left({\frac{1}{y}}-2x\right)\,\mathrm{d}y.",y(x y-1)\;=\;C x.
x y^{\prime}=\mathrm{e}^{y}+2y^{\prime}.,"-\mathbf{e}^{-y}\,=\,\ln C(x-2)."
"2(x-y^{2})\,\mathrm{d}y=y\,\mathrm{d}x.","x\,=\,y^{2}(C - 2\ln|y|)"
"2(x-y^{2})\,\mathrm{d}y=y\,\mathrm{d}x.",y\ =\ 0.
x^{2}y^{\prime2}+y^{2}=2x(2-y y^{\prime}).,"3x y\,=\,C\pm4x^{3/2}"
"\mathrm{d}y+(x y-x y^{3})\,\mathrm{d}x=0.","y^{2}(C\mathrm{e}^{x^{2}}+1)\,=\,1;"
"\mathrm{d}y+(x y-x y^{3})\,\mathrm{d}x=0.",y=0
2x^{2}y^{\prime}=y^{2}(2x y^{\prime}-y).,y^{2}=2x\ln C y
2x^{2}y^{\prime}=y^{2}(2x y^{\prime}-y).,y=0.
{\frac{y-x y^{\prime}}{x+y y^{\prime}}}=2.,\ln(x^{2}+y^{2})+\arg(y/x)=C.
x(x-1)y^{\prime}+2x y=1.,"(x-1)^{2}y\,=\,x\,-\,\ln|x|\,+\,C"
x y(x y^{\prime}-y)^{2}+2y^{\prime}=0.,"{C}^{2}{x}^{2}+2{y}^{2}\,=\,2{C}"
x y(x y^{\prime}-y)^{2}+2y^{\prime}=0.,"2{x}^{2}{y}^{2}\,=\,1."
(1-x^{2})y^{\prime}-2x y^{2}=x y.,y(C\sqrt{|x^{2}-1|}-2)=1;
(1-x^{2})y^{\prime}-2x y^{2}=x y.,y=0.
y^{\prime}+y=x y^{3}.,"y^{2}(C\mathrm{e}^{2x}+x+0,5)=1"
y^{\prime}+y=x y^{3}.,y=0.
"(x y^{4}-x)\,\mathrm{d}x+(y+x y)\,\mathrm{d}y=0.",y^{2}-1=C(x+1)^{4}\mathrm{e}^{-4x}(y^{2}+1);
"(x y^{4}-x)\,\mathrm{d}x+(y+x y)\,\mathrm{d}y=0.",x=-1.
"(\sin x+y)\,\mathrm{d}y+(y\cos x-x^{2})\,\mathrm{d}x=0.",y\sin x-{\frac{x^{3}}{3}}+{\frac{y^{2}}{2}}=C.
3y^{\prime^{3}}-x y^{\prime}+1= 0.,"x=3p^{2}+p^{-1},\,y=2p^{3}-\ln|p|+C."
y y^{\prime}+y^{2}\operatorname{ctg}x=\cos x.,3y^{2}=2\sin x+C\sin^{-2}x.
"(\mathrm{e}^{y}+2x y)\,\mathrm{d}x+(\mathrm{e}^{y}+x)x\,\mathrm{d}y=0.",x(\mathrm{e}^{y}+x y)=C
x y^{\prime2}=y-y^{\prime}.,"x(p\div{1})^{2}=\ln C p-p,\;y=x p^{2}+p"
x y^{\prime2}=y-y^{\prime}.,y=0;
x y^{\prime2}=y-y^{\prime}.,y=x+1.
x(x+1)(y^{\prime}-1)=y.,(x+1)y={{x}}^{2}+{x}\ln C x.
y(y-x y^{\prime})={\sqrt{x^{4}+y^{4}}}.,y^{2}+\sqrt{x^{4}+y^{4}}=C.
x y^{\prime}+y=\ln y^{\prime}.,"p x=C\sqrt{p}-1,\;y=\ln p-C\sqrt{p}+1."
"x^{2}(\mathrm{d}y-\mathrm{d}x)=(x+y)y\,\mathrm{d}x.",y=x\operatorname{tg}{\ln C} x
"x^{2}(\mathrm{d}y-\mathrm{d}x)=(x+y)y\,\mathrm{d}x.",x=0.
y^{\prime}+x\sqrt[3]{y}=3y.,y^{2/3}=C\mathrm{e}^{2x}+(x/3)+(1/6)
y^{\prime}+x\sqrt[3]{y}=3y.,y=0.
(x\cos y+\sin2y)y^{\prime}=1.,x=C\mathrm{e}^{\sin y}-2(1+\sin y).
y^{\prime^{2}}-y y^{\prime}+e^{x}=0.,C y=C^{2}\mathrm{e}^{x}+1
y^{\prime^{2}}-y y^{\prime}+e^{x}=0.,y=\pm \mathrm{e}^{x/2}.
y^{\prime}={\textstyle\frac{x}{y}}\mathrm{e}^{2x}+y.,y^{2}=(x^{2}+C)\mathrm{e}^{2x}
(x y^{\prime}-y)^{3}=y^{\prime3}-1.,"y=\,C x - \sqrt[3]{C^{3}-1}"
(x y^{\prime}-y)^{3}=y^{\prime3}-1.,"y^{3}\,=\,(x^{3/2}\pm1)^{2}."
(4x y-3)y^{\prime}+y^{2}=1.,"x(y^{2}-1)^{2}\,=\,y^{3}\,-\,3y+C;"
(4x y-3)y^{\prime}+y^{2}=1.,y=\pm1.
y^{\prime}{\sqrt{x}}={\sqrt{y-x}}+{\sqrt{x}}.,{\sqrt{y-x}}-{\sqrt{x}}=C
y^{\prime}{\sqrt{x}}={\sqrt{y-x}}+{\sqrt{x}}.,y=x.
x y^{\prime}=2\sqrt y\cos x-2y.,x\sqrt{y}=\sin x+C
x y^{\prime}=2\sqrt y\cos x-2y.,y=0.
3y^{\prime4}=y^{\prime}+y.,"x=4p^{3}\!-\!\ln C p,\,y=3p^{4}-p"
3y^{\prime4}=y^{\prime}+y.,y=0.
y^2(y - xy^{\prime}) = x^3y^{\prime},y^{2}+2x^{2}\ln C y=0
y^2(y - xy^{\prime}) = x^3y^{\prime},y=0.
y^{\prime}=(4x+y-3)^{2},4x+y-3=2\operatorname{tg}(2x+C).
"(\cos x-x\sin x)y\,\mathrm{d}x+(x\cos x-2y)\,\mathrm{d}y=0.",x y\cos x-y^{2}=C.
x^{2}y^{\prime^{2}}-2x y y^{\prime}=x^{2}+3y^{2}.,4C x y={C^{2}}{x^{4}}-1
{\frac{x y^{\prime}}{y}}+2x y\ln x+1=0.,x y(\ln^{2}x+C)=1.
x y^{\prime}=x{\sqrt{y-x^{2}}}+2y.,2\sqrt{y-x^{2}}=x\ln C x;
x y^{\prime}=x{\sqrt{y-x^{2}}}+2y.,y=x^{2}.
"(1-x^{2}y)\,\mathrm{d}x+x^{2}(y-x)\,\mathrm{d}y=0.",(y^{2}/2)-(1/x)-x y=C
"(1-x^{2}y)\,\mathrm{d}x+x^{2}(y-x)\,\mathrm{d}y=0.",x=0.
(2x e^{y}+y^{4})y^{\prime}=y e^{y}.,x=C y^{2}-y^{2}(y+1)\mathrm{e}^{-y}
(2x e^{y}+y^{4})y^{\prime}=y e^{y}.,y=0
x y^{\prime}(\ln y-\ln x)=y.,y(\ln y-\ln x-1)=C.
2y^{\prime}=x+\ln y^{\prime}.,"x=2p-\ln p,\;y=p^{2}-p+C"
(2x^{2}y-3y^{2})y^{\prime}=6x^{2}-2x y^{2}+1.,2x^{3}-x^{2}y^{2}+y^{3}+x\;=\;C.
y y^{\prime}=4x+3y-2.,(y-4x+2)^{4}(2y+2x-1)=C
y^{2}y^{\prime}+x^{2}\sin^{3}x=y^{3}\operatorname{ctg}x.,"y^{3}\,=\,(C-x^{3})\mathrm{sin}^{3}\,x."
2x y^{\prime}-y=\sin y^{\prime}.,"p^{2}x=p\sin p+\cos p+C,p y=p\sin p+2\cos p+2C;"
2x y^{\prime}-y=\sin y^{\prime}.,y=0.
(x^{2}y^{2}+1)y+(x y-1)^{2}x y^{\prime}=0.,x^{2}y^{2}-1=x y\ln C y^{2};
(x^{2}y^{2}+1)y+(x y-1)^{2}x y^{\prime}=0.,y=0.
y\sin x+y^{\prime}\cos x=1.,"y\,=\,C\cos x\,+\,\sin x."
"x\,{\mathrm{d}}y-y\,{\mathrm{d}}x=x{\sqrt{x^{2}+y^{2}}}\,{\mathrm{d}}x.",|x|=\ln\!\left({\textstyle{\frac{y}{x}}}+{\sqrt{1+{\frac{y^{2}}{x^{2}}}}}\right)+C;
"x\,{\mathrm{d}}y-y\,{\mathrm{d}}x=x{\sqrt{x^{2}+y^{2}}}\,{\mathrm{d}}x.",x=0.
y^{2}+x^{2}y^{\prime5}=x y(y^{\prime}{}^{2}+y^{\prime3}).,(y\mathrm{-}x)^{2}=2C(x+y)\mathrm{-}{C}^{2};
y^{2}+x^{2}y^{\prime5}=x y(y^{\prime}{}^{2}+y^{\prime3}).,y^{2/3}-x^{2/3}=C;
y^{2}+x^{2}y^{\prime5}=x y(y^{\prime}{}^{2}+y^{\prime3}).,y=0.
y^{\prime}=\sqrt[3]{2x-y}+2.,27(y-2x)^{2}=(C-2x)^{3};
y^{\prime}=\sqrt[3]{2x-y}+2.,y=2x.
"\left(x-y\cos\frac y x\right)\,\mathrm{d}x+x\cos\frac y x\,\mathrm{d}y=0.",\sin(y/x)=-\ln C x.
"2\left(x^{2}y+{\sqrt{1+x^{4}y^{2}}}\right)\,\mathrm{d}x+x^{3}\,\mathrm{d}y=0.",x^{2}({\sqrt{1+x^{4}y^{2}}}+x^{2}y)=C.
\left(y^{\prime}-x{\sqrt{y}}\right)(x^{2}-1)=x y.,3\sqrt{y}=x^{2}-1+{C}\sqrt[4]{\vert x^{2}-1}\vert
\left(y^{\prime}-x{\sqrt{y}}\right)(x^{2}-1)=x y.,y=0.
y^{\prime^{3}}+(y^{\prime^{2}}-2y^{\prime})x=3y^{\prime}-y.,"x={\frac{c}{p^{2}}}-p-{\textstyle\frac{3}{2}},\,y=C\left({\textstyle\frac{2}{p}}-1\right)-{\textstyle\frac{p^{2}}{2}};"
y^{\prime^{3}}+(y^{\prime^{2}}-2y^{\prime})x=3y^{\prime}-y.,y=x+2;
y^{\prime^{3}}+(y^{\prime^{2}}-2y^{\prime})x=3y^{\prime}-y.,y=0.
"(2x+3y-1)\,\mathrm{d}x+(4x+6y-5)\,\mathrm{d}y=0.",(2x+3y-7)^{3}=C\mathrm{e}^{x+2y}.
"(2x y^{2}-y)\,\mathrm{d}x+(y^{2}+x+y)\,\mathrm{d}y=0.","(x^{2}+y+\ln C y)y\,=\,x;"
"(2x y^{2}-y)\,\mathrm{d}x+(y^{2}+x+y)\,\mathrm{d}y=0.","y\,=\,0."
y=y^{\prime}{\sqrt{1+y^{\prime 2}}}.,"x\,=\,2\sqrt{p^{2}+1}-\,\mathrm{ln}(1\,+\sqrt{p^{2}+1})+\ln C p,\;y=p\sqrt{p^{2}+1};"
y=y^{\prime}{\sqrt{1+y^{\prime 2}}}.,y=0.
y^{2}=(x y y^{\prime}+1)\ln x.,y^{2}=C\ln^{2}x+2\ln x.
4y=x^{2}+y^{\prime2}.,"x=C u e^{u},\,4y=C^{2}\mathrm{e}^{2u}(2u^{2}+2u+1);"
4y=x^{2}+y^{\prime2}.,x^{2}=2y.
"2x\,\mathrm{d}y+y\,\mathrm{d}x+x y^{2}(x\,\mathrm{d}y+y\,\mathrm{d}x)=0.",x y^{2}\ln C x y=1
"2x\,\mathrm{d}y+y\,\mathrm{d}x+x y^{2}(x\,\mathrm{d}y+y\,\mathrm{d}x)=0.",x=0
